,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
0,-,-,-,-,-,-,7425,2392.00,2995.60,7425,6100.00,75,1.20,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,7425,2354.55,2954.10,7425,6150.00,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,7425,2314.55,2899.60,7425,6200.00,750,1.00,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,7425,2275.30,2856.70,7425,6250.00,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,7425,2218.00,2801.25,7425,6300.00,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,7425,2169.20,2766.90,7425,6350.00,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,7425,2124.05,2712.35,7425,6400.00,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,7425,2075.40,2659.05,7425,6450.00,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,7425,1938.95,2603.20,7425,6500.00,1800,4.10,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,7425,1903.10,2564.90,7425,6550.00,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,7425,1870.05,2508.00,7425,6600.00,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,7425,1824.95,2474.55,7425,6650.00,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,7425,1779.80,2421.15,7425,6700.00,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,7425,1727.65,2394.40,7425,6750.00,75,2.00,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,7425,1689.55,2322.55,7425,6800.00,75,4.00,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,7425,1631.95,2288.95,7425,6850.00,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,7425,1607.40,2231.70,7425,6900.00,75,18.00,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,7425,1562.25,2182.45,7425,6950.00,75,0.20,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,7425,1517.50,2140.30,7425,7000.00,1050,36.00,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,7425,1473.10,2116.75,7425,7050.00,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,7425,1427.95,2050.70,7425,7100.00,-,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,7425,1381.25,2041.15,7425,7150.00,-,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,7425,1336.65,1967.40,7425,7200.00,150,1.00,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,7425,1291.85,1929.80,7425,7250.00,75,1.00,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,7425,1246.75,1874.70,7425,7300.00,-,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,7425,1201.60,1843.85,7425,7350.00,-,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,7425,1157.20,1787.80,7425,7400.00,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,7425,1111.35,1759.75,7425,7450.00,75,0.20,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,7425,1057.85,1702.70,7425,7500.00,600,26.00,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,7425,1014.05,1692.20,7425,7550.00,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,7425,968.00,1617.30,7425,7600.00,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,7425,923.85,1622.00,7425,7650.00,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,7425,878.70,1536.05,7425,7700.00,-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,7425,832.65,1535.55,7425,7750.00,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,7425,787.10,1453.10,7425,7800.00,150,10.00,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,7425,743.35,1461.75,7425,7850.00,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,7425,697.25,1374.25,7425,7900.00,75,10.00,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,7425,655.35,1380.60,7425,7950.00,-,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,7425,539.75,1291.40,7425,8000.00,75,71.00,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,7425,492.35,1298.55,7425,8050.00,75,0.50,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,7425,458.65,1184.50,7425,8100.00,75,50.00,1075.90,75,-,-,-,-,-,-
41,-,-,-,-,-,-,7425,335.55,1254.80,7425,8150.00,7500,0.05,1117.20,75,-,-,-,-,-,-
