,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
0,75,75,14,64.50,1103.75,-459.15,4950,1013.85,1060.70,4950,10150.00,1350,11.50,11.70,75,11.55,11.60,45.65,3364,97725,97725
1,225,225,11,69.31,1074.70,-438.50,150,977.35,1013.10,4950,10200.00,75,13.90,14.00,300,13.95,14.00,44.95,15363,344625,344625
2,375,375,7,55.86,993.35,-470.10,4950,919.50,965.70,4950,10250.00,18525,3.85,-,-,3.00,3.05,33.30,1,75,75
3,225,225,11,37.59,912.65,-501.05,150,876.60,917.60,4950,10300.00,75,17.45,17.85,300,17.45,17.50,43.62,10586,176775,176775
4,-,-,-,-,-,-,4950,825.40,870.80,4950,10350.00,10800,3.05,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,150,786.15,824.05,4950,10400.00,75,22.90,23.10,75,22.90,23.05,42.95,10202,104325,104325
6,-,-,-,-,-,-,4950,733.75,778.10,4950,10450.00,24600,3.85,-,-,3.00,3.05,27.02,1,75,75
7,300,225,18,-,700.00,-313.00,300,702.60,730.05,75,10500.00,975,30.00,30.20,75,27.20,30.00,41.92,71843,201600,954825
8,-,-,-,-,-,-,4950,643.50,686.55,4950,10550.00,19800,3.05,-,-,-,-,-,-,-,-
9,75,75,2,-,585.10,-906.00,225,605.90,635.45,75,10600.00,150,38.25,38.40,75,35.25,38.30,40.60,33364,306525,309525
10,-,-,-,-,-,-,4950,556.20,597.75,4950,10650.00,45075,5.00,-,-,-,-,-,-,-,-
11,-,-,1,49.23,598.30,-794.05,75,526.85,545.25,75,10700.00,75,48.65,48.70,750,45.40,48.65,39.26,50761,345525,368400
12,-,-,-,-,-,-,4950,473.95,513.75,4950,10750.00,67275,5.00,-,-,-,-,-,-,-,-
13,675,675,36,25.90,429.60,-1159.55,450,449.55,455.15,150,10800.00,75,62.85,63.00,1125,59.05,62.90,38.03,78214,458700,587775
14,150,150,4,32.99,414.90,-1124.85,4950,396.65,418.95,4950,10850.00,31950,20.00,-,-,-,-,-,-,-,-
15,7200,7200,234,28.09,369.25,-1121.10,75,369.65,373.90,75,10900.00,75,81.65,82.05,225,76.00,81.70,36.93,81859,255600,435000
16,-,-,-,-,-,-,1500,319.80,340.40,4950,10950.00,43575,30.00,-,-,-,-,-,-,-,-
